seconds,t_motor,t_ambient
2115.18,35.0,22.312
2119.27,35.0,22.312
2123.37,35.0,22.312
2127.47,35.0,22.312
2131.56,35.0,22.312
2135.66,35.0,22.312
2139.75,35.0,22.312
2143.85,35.0,22.312
2147.95,35.0,22.312
2152.04,35.0,22.312
2156.14,35.0,22.312
2160.23,35.06,22.312
2164.33,35.0,22.312
2168.43,35.06,22.312
2172.52,35.06,22.312
2176.62,35.06,22.312
2180.71,35.06,22.312
2184.81,35.06,22.312
2188.91,35.06,22.312
2193.0,35.06,22.312
2197.1,35.12,22.312
2201.19,35.12,22.312
2205.29,35.12,22.312
2209.39,35.12,22.312
2213.48,35.12,22.25
2217.58,35.12,22.312
2221.67,35.12,22.312
2225.77,35.12,22.312
2229.87,35.12,22.312
2233.96,35.12,22.312
2238.06,35.12,22.312
2242.15,35.12,22.312
2246.25,35.19,22.312
2250.35,35.19,22.312
2254.44,35.19,22.312
2258.54,35.19,22.312
2262.63,35.19,22.312
2266.73,35.19,22.312
2270.83,35.19,22.312
2274.92,35.19,22.312
2279.02,35.19,22.312
2283.11,35.19,22.312
2287.21,35.19,22.312
2291.31,35.19,22.312
2295.4,35.25,22.25
2299.5,35.25,22.312
2303.59,35.25,22.312
2307.69,35.25,22.312
2311.79,35.25,22.312
2315.88,35.25,22.312
2319.98,35.25,22.312
2324.07,35.25,22.312
2328.17,35.25,22.312
2332.27,35.25,22.25
2336.36,35.25,22.25
2340.46,35.25,22.312
2344.55,35.25,22.312
2348.65,35.25,22.312
2352.75,35.25,22.312
2356.84,35.31,22.25
2360.94,35.25,22.25
2365.03,35.31,22.312
2369.13,35.31,22.312
2373.23,35.31,22.312
2377.32,35.31,22.25
2381.42,35.31,22.312
2385.51,35.31,22.312
2389.61,35.31,22.25
2393.71,35.31,22.312
2397.8,35.38,22.312
2401.9,35.31,22.312
2405.99,35.38,22.312
2410.09,35.38,22.25
2414.19,35.38,22.25
2418.28,35.38,22.312
2422.38,35.38,22.25
2426.47,35.38,22.312
2430.57,35.38,22.25
2434.67,35.38,22.312
2438.76,35.38,22.25
2442.86,35.38,22.312
2446.95,35.38,22.312
