seconds,t_motor,t_ambient
1492.54,25.94,23.12
1496.64,25.94,23.12
1500.73,25.88,23.12
1504.83,25.88,23.12
1508.93,25.94,23.19
1513.02,25.94,23.12
1517.12,25.94,23.12
1521.21,25.94,23.19
1525.31,25.88,23.12
1529.41,25.94,23.19
1533.5,25.94,23.12
1537.6,25.94,23.12
1541.69,25.94,23.19
1545.79,25.94,23.19
1549.89,25.94,23.12
1553.98,25.94,23.12
1558.08,25.94,23.12
1562.17,25.94,23.12
1566.27,25.94,23.12
1570.37,25.94,23.12
1574.46,25.94,23.12
1578.56,25.94,23.12
1582.65,25.94,23.12
1586.77,25.94,23.12
1590.88,25.94,23.12
1594.97,25.88,23.12
1599.07,25.94,23.12
1603.17,25.94,23.12
1607.26,25.94,23.12
1611.36,25.94,23.12
1615.45,25.94,23.12
1619.55,25.94,23.12
1623.65,25.94,23.12
1627.74,25.88,23.12
1631.84,25.94,23.12
1635.93,25.94,23.12
1640.03,25.94,23.12
1644.13,25.94,23.12
1648.22,25.88,23.12
1652.32,25.94,23.12
1656.41,25.94,23.12
1660.51,25.88,23.12
1664.61,25.94,23.12
1668.7,25.94,23.12
1672.8,25.88,23.12
1676.89,25.94,23.12
1680.99,25.94,23.12
1685.09,25.88,23.12
1689.18,25.94,23.12
1693.28,25.88,23.12
1697.37,25.94,23.12
1701.47,25.94,23.12
1705.57,25.94,23.12
1709.66,25.94,23.12
1713.76,25.94,23.12
1717.85,25.94,23.12
1721.95,25.94,23.12
1726.05,25.94,23.06
1730.14,25.94,23.12
1734.24,25.88,23.12
1738.33,25.94,23.12
1742.43,25.88,23.12
1746.53,25.88,23.12
1750.62,25.88,23.12
1754.72,25.94,23.12
1758.81,25.94,23.12
1762.91,25.88,23.12
1767.01,25.88,23.12
1771.1,25.94,23.06
1775.2,25.94,23.06
1779.29,25.88,23.12
1783.39,25.88,23.06
1787.49,25.94,23.12
1791.58,25.88,23.06
1795.68,25.88,23.06
1799.77,25.88,23.06
1803.87,25.88,23.06
1807.97,25.88,23.06
1812.06,25.88,23.12
1816.16,25.88,23.06
1820.25,25.88,23.06
1824.35,25.88,23.06
1828.45,25.88,23.06
1832.54,25.88,23.06
1836.64,25.88,23.06
1840.73,25.88,23.06
1844.83,25.94,23.06
1848.93,25.88,23.06
1853.02,25.88,23.06
1857.12,25.88,23.06
1861.21,25.88,23.06
1865.31,25.88,23.0
1869.41,25.88,23.06
1873.5,25.88,23.06
1877.6,25.88,23.06
1881.69,25.88,23.06
1885.79,25.88,23.06
1889.89,25.88,23.06
